DataOperacao,PredicaoIA,Candle,Close,Open,High,Low,CandleCorpoPct,CandlePavioSuperiorPct,CandlePavioInferiorPct,Profit,ProfitPct,ProfitAcumulado,ProfitJurosComposto
19/05/2019 00:00,Long,UP,259.51,233.57,264,231.77,10,1.73,0.77,Gain,10,65.1,1651
20/05/2019 00:00,Short,DOWN,250.37,259.37,259.49,238,3.47,0.05,4.94,Gain,3.47,68.57,1685.7
21/05/2019 00:00,Long,UP,253.43,250.48,262,246.06,1.16,3.38,1.76,Gain,1.16,69.73,1697.3
22/05/2019 00:00,Long,DOWN,243.64,253.35,260.18,239.63,3,2.7,1.65,Loss,3,66.73,1667.3
23/05/2019 00:00,Long,UP,244.56,243.68,247.34,231.1,3,1.14,5.16,Loss,3,63.73,1637.3
24/05/2019 00:00,Short,UP,248.87,244.63,254.35,241.54,3,2.2,1.26,Loss,3,60.73,1607.3
25/05/2019 00:00,Long,UP,250.22,248.84,257.33,247.22,0.55,2.84,0.65,Gain,0.55,61.28,1612.8
26/05/2019 00:00,Long,UP,264.45,250.17,269.4,245.11,5.4,1.87,2.02,Gain,5.4,66.68,1666.8
27/05/2019 00:00,Short,UP,270.53,264.35,279.59,260,3,3.35,1.65,Loss,3,63.68,1636.8
28/05/2019 00:00,Long,UP,271.03,270.7,275.95,264.45,0.12,1.82,2.31,Gain,0.12,63.8,1638
29/05/2019 00:00,Long,DOWN,268.83,271.08,274.04,260.05,3,1.09,3.27,Loss,3,60.8,1608
30/05/2019 00:00,Short,DOWN,254.56,268.92,288.62,240.14,3,7.33,5.66,Loss,3,57.8,1578
31/05/2019 00:00,Long,UP,267.9,254.59,268.72,245.21,3,0.31,3.68,Loss,3,54.8,1548
01/06/2019 00:00,Short,DOWN,264.33,267.9,275.5,260.68,1.33,2.84,1.38,Gain,1.33,56.13,1561.3
02/06/2019 00:00,Long,UP,268.88,264.33,273.2,263.2,1.69,1.61,0.43,Gain,1.69,57.82,1578.2
03/06/2019 00:00,Short,DOWN,249.91,268.87,270,248,7.05,0.42,0.76,Gain,7.05,64.87,1648.7
04/06/2019 00:00,Long,DOWN,241.39,250.02,251.67,234.39,3,0.66,2.9,Loss,3,61.87,1618.7
05/06/2019 00:00,Long,UP,245.63,241.46,250.41,237.37,1.7,1.95,1.69,Gain,1.7,63.57,1635.7
06/06/2019 00:00,Short,UP,248.76,245.62,250.66,235.01,1.26,0.76,4.32,Loss,1.26,62.31,1623.1
07/06/2019 00:00,Short,DOWN,248.77,248.77,253.28,243.46,0,1.81,2.13,Gain,0,62.31,1623.1
08/06/2019 00:00,Long,DOWN,243.25,248.78,250.53,240.37,3,0.7,1.18,Loss,3,59.31,1593.1
09/06/2019 00:00,Long,DOWN,230.98,243.33,244.53,226.56,3,0.49,1.91,Loss,3,56.31,1563.1
10/06/2019 00:00,Long,UP,246.51,231.02,247.45,227.03,6.28,0.38,1.73,Gain,6.28,62.59,1625.9
11/06/2019 00:00,Short,DOWN,244.29,246.61,247.8,236.49,0.94,0.48,3.19,Gain,0.94,63.53,1635.3
12/06/2019 00:00,Short,UP,261.15,244.36,261.87,242.2,3,0.28,0.88,Loss,3,60.53,1605.3
13/06/2019 00:00,Short,DOWN,254.67,261.13,262.98,253.69,2.47,0.71,0.38,Gain,2.47,63,1630
14/06/2019 00:00,Long,UP,262.47,254.67,264.26,251.75,2.97,0.68,1.15,Gain,2.97,65.97,1659.7
15/06/2019 00:00,Short,UP,267.82,262.48,272.27,260.61,3,1.66,0.71,Loss,3,62.97,1629.7
16/06/2019 00:00,Short,DOWN,267.73,267.78,277.06,263.31,3,3.47,1.65,Loss,3,59.97,1599.7
17/06/2019 00:00,Long,UP,273.16,267.73,276,266.81,1.99,1.04,0.34,Gain,1.99,61.96,1619.6
18/06/2019 00:00,Short,DOWN,264.66,273.14,273.58,261.45,3.1,0.16,1.21,Gain,3.1,65.06,1650.6
19/06/2019 00:00,Long,UP,268.14,264.68,270,263.59,1.29,0.69,0.41,Gain,1.29,66.35,1663.5
20/06/2019 00:00,Short,UP,271.22,268.16,273.63,265.71,1.13,0.89,0.91,Loss,1.13,65.22,1652.2
21/06/2019 00:00,Short,UP,294.35,271.27,295.94,271.22,3,0.54,0.02,Loss,3,62.22,1622.2
22/06/2019 00:00,Short,UP,310.79,294.25,314.39,289.69,3,1.16,1.55,Loss,3,59.22,1592.2
23/06/2019 00:00,Short,DOWN,308.52,310.7,321.7,305.58,3,3.54,0.95,Loss,3,56.22,1562.2
24/06/2019 00:00,Long,UP,311.64,308.42,314.41,298,3,0.89,3.38,Loss,3,53.22,1532.2
25/06/2019 00:00,Short,UP,318.26,311.65,318.99,307,2.08,0.23,1.49,Loss,2.08,51.14,1511.4
26/06/2019 00:00,Short,UP,339.39,318.29,366.8,315.57,3,8.08,0.85,Loss,3,48.14,1481.4
27/06/2019 00:00,Long,DOWN,298.35,339.53,347,280.01,3,2.2,6.15,Loss,3,45.14,1451.4
28/06/2019 00:00,Long,UP,311.05,298.35,313.58,295.22,4.08,0.81,1.05,Gain,4.08,49.22,1492.2
29/06/2019 00:00,Short,UP,317.62,310.95,324.74,295.18,3,2.24,5.07,Loss,3,46.22,1462.2
30/06/2019 00:00,Short,DOWN,292.7,317.64,323.5,290.12,7.85,1.84,0.88,Gain,7.85,54.07,1540.7
01/07/2019 00:00,Long,UP,295.07,292.89,303.49,280.13,3,2.85,4.36,Loss,3,51.07,1510.7
02/07/2019 00:00,Short,DOWN,291.48,295.03,297.57,272.65,1.2,0.86,6.46,Gain,1.2,52.27,1522.7
03/07/2019 00:00,Short,UP,301.14,291.47,302.89,285,3,0.58,2.22,Loss,3,49.27,1492.7
04/07/2019 00:00,Short,DOWN,282.73,301.11,302.74,280.53,6.1,0.54,0.78,Gain,6.1,55.37,1553.7
05/07/2019 00:00,Long,UP,287.47,282.86,294.89,280.78,1.6,2.58,0.74,Gain,1.6,56.97,1569.7
06/07/2019 00:00,Long,UP,288.29,287.32,296.71,285.28,0.34,2.92,0.71,Gain,0.34,57.31,1573.1
07/07/2019 00:00,Long,UP,304.72,288.29,309.69,284.25,5.39,1.63,1.4,Gain,5.39,62.7,1627
08/07/2019 00:00,Short,UP,311.97,304.72,313.74,300.78,2.32,0.57,1.29,Loss,2.32,60.38,1603.8
09/07/2019 00:00,Short,DOWN,307.46,311.96,318.19,302.69,1.44,2,1.55,Gain,1.44,61.82,1618.2
10/07/2019 00:00,Long,DOWN,289.23,307.46,314.18,281.04,3,2.19,2.83,Loss,3,58.82,1588.2
11/07/2019 00:00,Long,DOWN,268.63,289.23,289.23,262.12,3,0,2.42,Loss,3,55.82,1558.2
12/07/2019 00:00,Long,UP,274.62,268.67,278.99,266.21,2.17,1.59,0.92,Gain,2.17,57.99,1579.9
13/07/2019 00:00,Short,DOWN,268.79,274.53,275.04,262.2,2.09,0.19,2.45,Gain,2.09,60.08,1600.8
14/07/2019 00:00,Long,DOWN,225.85,268.8,269.74,222.81,3,0.35,1.35,Loss,3,57.08,1570.8
15/07/2019 00:00,Long,UP,228.2,225.83,235.58,203.08,3,3.23,10.07,Loss,3,54.08,1540.8
16/07/2019 00:00,Short,DOWN,198.88,228.2,234.5,192.25,12.85,2.76,3.33,Gain,12.85,66.93,1669.3
17/07/2019 00:00,Long,UP,210.81,198.94,219.86,191.84,3,4.29,3.57,Loss,3,63.93,1639.3
18/07/2019 00:00,Short,UP,225.73,210.8,229.65,205.71,3,1.74,2.41,Loss,3,60.93,1609.3
19/07/2019 00:00,Short,DOWN,220.73,225.75,226.23,212.52,2.22,0.21,3.72,Gain,2.22,63.15,1631.5
20/07/2019 00:00,Short,UP,228.2,220.84,235.09,219.78,3,3.02,0.48,Loss,3,60.15,1601.5
21/07/2019 00:00,Short,DOWN,225.38,228.25,229.66,216.99,1.26,0.62,3.72,Gain,1.26,61.41,1614.1
22/07/2019 00:00,Short,DOWN,217.51,225.49,228.34,212.25,3.54,1.26,2.42,Gain,3.54,64.95,1649.5
23/07/2019 00:00,Long,DOWN,212.48,217.59,219.55,208.36,3,0.9,1.94,Loss,3,61.95,1619.5
24/07/2019 00:00,Long,UP,216.31,212.55,218.28,202,3,0.91,4.96,Loss,3,58.95,1589.5
25/07/2019 00:00,Short,UP,219.14,216.31,225.12,215.23,3,2.73,0.5,Loss,3,55.95,1559.5
26/07/2019 00:00,Long,DOWN,218.81,219.14,220,212.71,0.15,0.39,2.79,Loss,0.15,55.8,1558
27/07/2019 00:00,Short,DOWN,207.3,218.81,223.3,203,5.26,2.05,2.07,Gain,5.26,61.06,1610.6
28/07/2019 00:00,Long,UP,211.62,207.3,213.52,198.24,3,0.9,4.37,Loss,3,58.06,1580.6
29/07/2019 00:00,Short,DOWN,210.89,211.58,215.83,206.59,0.33,2.01,2.04,Gain,0.33,58.39,1583.9
30/07/2019 00:00,Long,DOWN,209.58,210.84,214.36,204.4,3,1.67,2.47,Loss,3,55.39,1553.9
31/07/2019 00:00,Short,UP,218.42,209.57,218.79,209.2,3,0.17,0.18,Loss,3,52.39,1523.9
01/08/2019 00:00,Short,DOWN,216.84,218.42,219.39,210.54,0.72,0.44,2.91,Gain,0.72,53.11,1531.1
02/08/2019 00:00,Short,UP,217.61,216.8,222.18,214.31,0.37,2.1,1.15,Loss,0.37,52.74,1527.4
03/08/2019 00:00,Long,UP,222.14,217.69,224.51,216.62,2,1.07,0.49,Gain,2,54.74,1547.4
04/08/2019 00:00,Short,DOWN,221.79,222.14,223.34,216.9,0.16,0.54,2.2,Gain,0.16,54.9,1549
05/08/2019 00:00,Short,UP,233.54,221.79,236.25,221.79,3,1.16,0,Loss,3,51.9,1519
06/08/2019 00:00,Short,DOWN,226.28,233.53,239.15,223.03,3.1,2.41,1.44,Gain,3.1,55,1550
07/08/2019 00:00,Long,DOWN,226.1,226.31,231.25,220.95,0.09,2.18,2.28,Loss,0.09,54.91,1549.1
08/08/2019 00:00,Short,DOWN,221.39,226.11,228.5,215.51,2.09,1.06,2.66,Gain,2.09,57,1570
09/08/2019 00:00,Long,DOWN,210.53,221.38,221.79,207.3,3,0.19,1.53,Loss,3,54,1540
10/08/2019 00:00,Long,DOWN,206.48,210.52,215,202.6,3,2.13,1.88,Loss,3,51,1510
11/08/2019 00:00,Long,UP,216.42,206.48,216.94,206.14,4.59,0.24,0.16,Gain,4.59,55.59,1555.9
12/08/2019 00:00,Short,DOWN,211.41,216.41,216.81,209.75,2.31,0.18,0.79,Gain,2.31,57.9,1579
13/08/2019 00:00,Long,DOWN,209.3,211.58,214.3,204,3,1.29,2.53,Loss,3,54.9,1549
14/08/2019 00:00,Long,DOWN,187.1,209.31,209.9,183.49,3,0.28,1.93,Loss,3,51.9,1519
15/08/2019 00:00,Long,UP,188.03,187.08,189.95,181.23,3,1.02,3.13,Loss,3,48.9,1489
16/08/2019 00:00,Short,DOWN,184.88,187.98,188.39,178.04,1.65,0.22,3.7,Gain,1.65,50.55,1505.5
17/08/2019 00:00,Short,UP,185.59,184.83,187,181.83,0.41,0.76,1.62,Loss,0.41,50.14,1501.4
18/08/2019 00:00,Short,UP,194.33,185.67,197.91,183.35,3,1.84,1.25,Loss,3,47.14,1471.4
19/08/2019 00:00,Short,UP,202.28,194.32,203.59,192.7,3,0.65,0.83,Loss,3,44.14,1441.4
20/08/2019 00:00,Short,DOWN,196.6,202.24,202.75,194.45,2.79,0.25,1.09,Gain,2.79,46.93,1469.3
21/08/2019 00:00,Long,DOWN,187.45,196.55,197.2,179.53,3,0.33,4.23,Loss,3,43.93,1439.3
22/08/2019 00:00,Long,UP,190.35,187.45,195.14,182.8,1.52,2.52,2.48,Gain,1.52,45.45,1454.5
23/08/2019 00:00,Short,UP,194.02,190.36,196.19,188.16,3,1.12,1.16,Loss,3,42.45,1424.5
24/08/2019 00:00,Short,DOWN,190.6,194.02,194.09,185.63,1.76,0.04,2.61,Gain,1.76,44.21,1442.1
25/08/2019 00:00,Short,DOWN,186.54,190.6,192.4,182.8,2.13,0.94,2,Gain,2.13,46.34,1463.4
26/08/2019 00:00,Long,UP,188.67,186.54,193.7,186,1.13,2.67,0.29,Gain,1.13,47.47,1474.7
27/08/2019 00:00,Long,DOWN,187.24,188.61,189.49,184.75,0.73,0.47,1.33,Loss,0.73,46.74,1467.4
28/08/2019 00:00,Short,DOWN,173.03,187.3,188.25,166.48,7.62,0.51,3.79,Gain,7.62,54.36,1543.6
29/08/2019 00:00,Long,DOWN,169.01,173.03,173.5,163.61,3,0.27,3.2,Loss,3,51.36,1513.6
30/08/2019 00:00,Short,DOWN,168.5,169.03,170.77,165.55,0.31,1.03,1.75,Gain,0.31,51.67,1516.7
31/08/2019 00:00,Short,UP,171.57,168.48,174.98,165.63,3,1.99,1.69,Loss,3,48.67,1486.7
01/09/2019 00:00,Short,DOWN,170.74,171.52,173.42,167.61,0.45,1.11,1.83,Gain,0.45,49.12,1491.2
02/09/2019 00:00,Long,UP,178.05,170.73,181,170.02,4.11,1.66,0.42,Gain,4.11,53.23,1532.3
03/09/2019 00:00,Short,UP,178.75,178,183,174.09,0.42,2.38,2.2,Loss,0.42,52.81,1528.1
04/09/2019 00:00,Short,DOWN,174.72,178.79,180.14,173,2.28,0.76,0.98,Gain,2.28,55.09,1550.9
05/09/2019 00:00,Long,DOWN,173.75,174.7,176.19,168.1,3,0.85,3.25,Loss,3,52.09,1520.9
06/09/2019 00:00,Short,DOWN,169.08,173.74,177.87,165,2.68,2.38,2.41,Gain,2.68,54.77,1547.7
07/09/2019 00:00,Long,UP,177.62,169.11,180.8,168.3,4.79,1.79,0.48,Gain,4.79,59.56,1595.6
08/09/2019 00:00,Short,UP,181.19,177.58,184.18,176.13,3,1.65,0.82,Loss,3,56.56,1565.6
09/09/2019 00:00,Short,DOWN,180.54,181.18,185.38,176.01,0.35,2.32,2.51,Gain,0.35,56.91,1569.1
10/09/2019 00:00,Long,DOWN,179.81,180.52,184.36,177,0.39,2.13,1.56,Loss,0.39,56.52,1565.2
11/09/2019 00:00,Long,DOWN,178.28,179.87,182.8,173,3,1.63,2.96,Loss,3,53.52,1535.2
12/09/2019 00:00,Short,UP,180.72,178.3,182.38,176.62,1.34,0.92,0.94,Loss,1.34,52.18,1521.8
13/09/2019 00:00,Short,UP,180.95,180.71,181.38,177.54,0.13,0.24,1.75,Loss,0.13,52.05,1520.5
14/09/2019 00:00,Short,UP,188.13,180.96,188.79,179.75,3,0.35,0.67,Loss,3,49.05,1490.5
15/09/2019 00:00,Short,UP,189.03,188.14,190.45,185.76,0.47,0.75,1.27,Loss,0.47,48.58,1485.8
16/09/2019 00:00,Short,UP,197.22,189.05,199.44,188.3,3,1.13,0.4,Loss,3,45.58,1455.8
17/09/2019 00:00,Short,UP,207.84,197.23,215.13,195.74,3,3.51,0.76,Loss,3,42.58,1425.8
18/09/2019 00:00,Short,UP,210.21,207.85,217.27,207.66,3,3.36,0.09,Loss,3,39.58,1395.8
19/09/2019 00:00,Long,UP,220.24,210.27,223.94,202.3,3,1.68,3.79,Loss,3,36.58,1365.8
20/09/2019 00:00,Short,DOWN,218.03,220.26,221.54,212.05,1.01,0.58,2.74,Gain,1.01,37.59,1375.9
21/09/2019 00:00,Long,DOWN,215.05,218.01,221.5,213.2,1.36,1.6,0.86,Loss,1.36,36.23,1362.3
22/09/2019 00:00,Long,DOWN,211.2,215.04,215.61,206.1,3,0.27,2.41,Loss,3,33.23,1332.3
23/09/2019 00:00,Long,DOWN,201.29,211.2,211.68,198.65,3,0.23,1.31,Loss,3,30.23,1302.3
24/09/2019 00:00,Long,DOWN,165.81,201.25,202.98,150.03,3,0.86,9.52,Loss,3,27.23,1272.3
25/09/2019 00:00,Long,UP,169.96,165.72,174.85,161.88,2.49,2.88,2.32,Gain,2.49,29.72,1297.2
26/09/2019 00:00,Short,DOWN,165.92,169.96,171.01,152.11,2.38,0.62,8.32,Gain,2.38,32.1,1321
27/09/2019 00:00,Short,UP,173.79,165.92,176.72,161.03,3,1.69,2.95,Loss,3,29.1,1291
28/09/2019 00:00,Short,DOWN,173.49,173.83,175.49,168,0.2,0.95,3.16,Gain,0.2,29.3,1293
29/09/2019 00:00,Short,DOWN,169.24,173.5,174.5,164.12,2.46,0.58,3.03,Gain,2.46,31.76,1317.6
30/09/2019 00:00,Long,UP,180.85,169.26,181.24,165.01,6.41,0.22,2.51,Gain,6.41,38.17,1381.7
01/10/2019 00:00,Short,DOWN,175.66,180.89,185.53,173.19,2.89,2.57,1.41,Gain,2.89,41.06,1410.6
02/10/2019 00:00,Long,UP,180.24,175.65,181.29,173.65,2.55,0.58,1.14,Gain,2.55,43.61,1436.1
03/10/2019 00:00,Short,DOWN,174.69,180.24,180.72,169.55,3.08,0.27,2.94,Gain,3.08,46.69,1466.9
04/10/2019 00:00,Long,UP,175.55,174.71,178.98,170.74,0.48,1.95,2.27,Gain,0.48,47.17,1471.7
05/10/2019 00:00,Short,UP,176.25,175.55,176.71,172.02,0.4,0.26,2.01,Loss,0.4,46.77,1467.7
06/10/2019 00:00,Short,DOWN,170.1,176.23,177.04,167.68,3.48,0.46,1.42,Gain,3.48,50.25,1502.5
07/10/2019 00:00,Long,UP,179.85,170.08,182.32,168.68,5.43,1.37,0.82,Gain,5.43,55.68,1556.8
